parameter,time,x1,x2
0.00000000,12.44147200,-0.03398916,0.64890316
0.00000000,12.54180600,0.03312968,0.64011278
0.00000000,12.64214000,0.09006742,0.64104112
0.00000000,12.74247500,0.15438151,0.63313159
0.00000000,12.84280900,0.22303812,0.63185330
0.00000000,12.94314400,0.28378649,0.59396346
0.00000000,13.04347800,0.32622950,0.55665122
0.00000000,13.14381300,0.38142395,0.50660737
0.00000000,13.24414700,0.44703819,0.45200684
0.00000000,13.34448200,0.48090192,0.42959365
0.00000000,13.44481600,0.52857446,0.38166520
0.00000000,13.54515100,0.56897306,0.34081375
0.00000000,13.64548500,0.59685949,0.26225056
0.00000000,13.74581900,0.60341171,0.18554081
0.00000000,13.84615400,0.62333257,0.12844414
0.00000000,13.94648800,0.63839679,0.08380120
0.00000000,14.04682300,0.66663046,0.02450255
0.00000000,14.14715700,0.63198823,-0.05860422
0.00000000,14.24749200,0.63261504,-0.12440801
0.00000000,14.34782600,0.63386767,-0.16918515
0.00000000,14.44816100,0.59137956,-0.25007158
0.00000000,14.54849500,0.56529690,-0.27859082
0.00000000,14.64882900,0.54173736,-0.36097030
0.00000000,14.74916400,0.49627052,-0.42634496
0.00000000,14.84949800,0.45202384,-0.46577910
0.00000000,14.94983300,0.41291794,-0.51541923
0.00000000,15.05016700,0.34486786,-0.55756045
0.00000000,15.15050200,0.30773533,-0.56756657
0.00000000,15.25083600,0.23057503,-0.60182597
0.00000000,15.35117100,0.18510611,-0.63602342
0.00000000,15.45150500,0.10701425,-0.65857295
0.00000000,15.55183900,0.06711568,-0.65722091
0.00000000,15.65217400,-0.01220851,-0.66128545
0.00000000,15.75250800,-0.08914250,-0.65087086
0.00000000,15.85284300,-0.13876438,-0.61309059
0.00000000,15.95317700,-0.21098757,-0.61489737
0.00000000,16.05351200,-0.29233811,-0.60221854
0.00000000,16.15384600,-0.32797229,-0.55162858
0.00000000,16.25418100,-0.37858404,-0.51805159
0.00000000,16.35451500,-0.43327689,-0.48194682
0.00000000,16.45484900,-0.49603715,-0.43089126
0.00000000,16.55518400,-0.52446685,-0.39978004
0.00000000,16.65551800,-0.55415891,-0.34341906
0.00000000,16.75585300,-0.58682938,-0.27454270
0.00000000,16.85618700,-0.61926131,-0.20904431
0.00000000,16.95652200,-0.64489560,-0.16020772
0.00000000,17.05685600,-0.65989396,-0.06183987
0.00000000,17.15719100,-0.65727929,-0.01132945
0.00000000,17.25752500,-0.63139364,0.05432059
0.00000000,17.35786000,-0.63899775,0.11395934
0.00000000,17.45819400,-0.63122440,0.16890832
0.00000000,17.55852800,-0.61961137,0.24382886
0.00000000,17.65886300,-0.56174942,0.29395487
0.00000000,17.75919700,-0.53498336,0.37059375
0.00000000,17.85953200,-0.50825744,0.39033179
0.00000000,17.95986600,-0.48166446,0.45679040
0.00000000,18.06020100,-0.39884929,0.50490438
0.00000000,18.16053500,-0.37454198,0.53738340
0.00000000,18.26087000,-0.32215947,0.57296256
0.00000000,18.36120400,-0.24885792,0.61575317
0.00000000,18.46153800,-0.18168487,0.61745198
0.00000000,18.56187300,-0.13427146,0.65483278
0.00000000,18.66220700,-0.07026683,0.65208211
0.00000000,18.76254200,0.01744113,0.63643088
0.00000000,18.86287600,0.07604887,0.64894426
0.00000000,18.96321100,0.12927180,0.65261150
0.00000000,19.06354500,0.19387890,0.61460621
0.00000000,19.16388000,0.25155404,0.59864866
0.00000000,19.26421400,0.31618597,0.55873385
0.00000000,19.36454800,0.37703935,0.50977380
0.00000000,19.46488300,0.44406133,0.49172004
0.00000000,19.56521700,0.48106287,0.42473363
0.00000000,19.66555200,0.52002921,0.40338819
0.00000000,19.76588600,0.53592714,0.34703137
0.00000000,19.86622100,0.58212120,0.28776964
0.00000000,19.96655500,0.60084217,0.24060567
0.00000000,20.06689000,0.61863679,0.15285183
0.00000000,20.16722400,0.63807514,0.10479117
0.00000000,20.26755900,0.65363908,0.02509050
0.00000000,20.36789300,0.64441909,-0.02771101
0.00000000,20.46822700,0.63363843,-0.09771846
0.00000000,20.56856200,0.61668425,-0.15886112
0.00000000,20.66889600,0.59971534,-0.22882313
0.00000000,20.76923100,0.59563740,-0.30197352
0.00000000,20.86956500,0.56166179,-0.33526307
0.00000000,20.96990000,0.50501362,-0.39143823
0.00000000,21.07023400,0.45994291,-0.47216194
0.00000000,21.17056900,0.41223461,-0.49043248
0.00000000,21.27090300,0.38129195,-0.52198940
0.00000000,21.37123700,0.32487433,-0.58115539
0.00000000,21.47157200,0.26291013,-0.62189986
0.00000000,21.57190600,0.20300902,-0.60891604
0.00000000,21.67224100,0.14530006,-0.62881875
0.00000000,21.77257500,0.08601093,-0.64444224
0.00000000,21.87291000,-0.00222034,-0.64269536
0.00000000,21.97324400,-0.07199144,-0.64890123
0.00000000,22.07357900,-0.14263103,-0.63929066
0.00000000,22.17391300,-0.20252050,-0.60498143
0.00000000,22.27424700,-0.25980426,-0.58573633
0.00000000,22.37458200,-0.29323123,-0.57029733
0.00000000,22.47491600,-0.35654439,-0.54714196
0.00000000,22.57525100,-0.43705002,-0.48030647
0.00000000,22.67558500,-0.46315565,-0.45659521
0.00000000,22.77592000,-0.52301516,-0.39693234
0.00000000,22.87625400,-0.54500335,-0.34212544
0.00000000,22.97658900,-0.58284717,-0.29295672
0.00000000,23.07692300,-0.60689749,-0.23188060
0.00000000,23.17725800,-0.63714709,-0.17281576
0.00000000,23.27759200,-0.64259050,-0.11124990
0.00000000,23.37792600,-0.66116541,-0.04249402
0.00000000,23.47826100,-0.66176552,0.03261369
0.00000000,23.57859500,-0.65619953,0.08662451
0.00000000,23.67893000,-0.63059391,0.16343855
0.00000000,23.77926400,-0.60949575,0.23314551
0.00000000,23.87959900,-0.59630139,0.30078693
0.00000000,23.97993300,-0.54229083,0.34853067
0.00000000,24.08026800,-0.52221344,0.38768770
0.00000000,24.18060200,-0.49442293,0.43551561
0.00000000,24.28093600,-0.43483971,0.48614639
0.00000000,24.38127100,-0.35540979,0.51976884
0.00000000,24.48160500,-0.32427564,0.54918744
0.00000000,24.58194000,-0.26691698,0.61299464
0.00000000,24.68227400,-0.19548660,0.61549333
0.00000000,24.78260900,-0.12974107,0.62945383
0.00000000,24.88294300,-0.06716101,0.64126674
0.00000000,24.98327800,0.00015564,0.66847559
0.00000000,25.08361200,0.05047426,0.64255326
0.00000000,25.18394600,0.11511627,0.63357120
0.00000000,25.28428100,0.18274413,0.62689733
0.00000000,25.38461500,0.25796048,0.61999654
0.00000000,25.48495000,0.30581507,0.59167903
0.00000000,25.58528400,0.35377526,0.52387419
0.00000000,25.68561900,0.41893277,0.49528624
0.00000000,25.78595300,0.46814438,0.45291865
0.00000000,25.88628800,0.49982517,0.41933558
0.00000000,25.98662200,0.52360772,0.36920101
0.00000000,26.08695700,0.57048600,0.31764350
0.00000000,26.18729100,0.61152652,0.23202984
0.00000000,26.28762500,0.62822034,0.16906763
0.00000000,26.38796000,0.62656060,0.09728678
0.00000000,26.48829400,0.65536924,0.03934393
0.00000000,26.58862900,0.65336040,-0.03624501
0.00000000,26.68896300,0.66013565,-0.08083093
0.00000000,26.78929800,0.62640278,-0.13642607
0.00000000,26.88963200,0.62486056,-0.20558879
0.00000000,26.98996700,0.57886172,-0.28380447
0.00000000,27.09030100,0.54319264,-0.31384396
0.00000000,27.19063500,0.52586864,-0.39489173
0.00000000,27.29097000,0.46956309,-0.43564153
0.00000000,27.39130400,0.41860199,-0.47318808
0.00000000,27.49163900,0.37929512,-0.53869602
0.00000000,27.59197300,0.31779515,-0.55395636
0.00000000,27.69230800,0.26898072,-0.61291515
0.00000000,27.79264200,0.20950029,-0.59303839
0.00000000,27.89297700,0.13833253,-0.62207434
0.00000000,27.99331100,0.08271509,-0.64598557
0.00000000,28.09364500,0.03293079,-0.63361219
0.00000000,28.19398000,-0.04736599,-0.63827240
0.00000000,28.29431400,-0.10350553,-0.62403558
0.00000000,28.39464900,-0.19558319,-0.63732315
0.00000000,28.49498300,-0.23406650,-0.60576107
0.00000000,28.59531800,-0.30608713,-0.58834416
0.00000000,28.69565200,-0.35606287,-0.54119533
0.00000000,28.79598700,-0.41214338,-0.50241781
0.00000000,28.89632100,-0.45138791,-0.45986705
0.00000000,28.99665600,-0.49928372,-0.39521391
0.00000000,29.09699000,-0.53413611,-0.35517306
0.00000000,29.19732400,-0.55963814,-0.31265361
0.00000000,29.29765900,-0.58858770,-0.23980274
0.00000000,29.39799300,-0.61054875,-0.19210530
0.00000000,29.49832800,-0.62358329,-0.13307460
0.00000000,29.59866200,-0.64258288,-0.06300889
0.00000000,29.69899700,-0.64554804,0.01679607
0.00000000,29.79933100,-0.65649313,0.08037081
0.00000000,29.89966600,-0.64018923,0.14837514
0.00000000,30.00000000,-0.62222479,0.20140722
0.04166700,0.00000000,0.01207628,0.67476421
0.04166700,0.10033400,0.08658937,0.68109970
0.04166700,0.20066900,0.15323925,0.67239842
0.04166700,0.30100300,0.22149890,0.64270919
0.04166700,0.40133800,0.28640516,0.61300831
0.04166700,0.50167200,0.35237189,0.59264533
0.04166700,0.60200700,0.40976357,0.55315273
0.04166700,0.70234100,0.46525495,0.50601375
0.04166700,0.80267600,0.51064256,0.46375326
0.04166700,0.90301000,0.56786634,0.39640232
0.04166700,1.00334400,0.57989720,0.34339066
0.04166700,1.10367900,0.61613021,0.27874637
0.04166700,1.20401300,0.64198406,0.21091482
0.04166700,1.30434800,0.67211910,0.14146957
0.04166700,1.40468200,0.67130804,0.08820823
0.04166700,1.50501700,0.68006211,-0.01070110
0.04166700,1.60535100,0.69761734,-0.04547239
0.04166700,1.70568600,0.66452483,-0.14220918
0.04166700,1.80602000,0.64726195,-0.21404406
0.04166700,1.90635500,0.63374216,-0.24726377
0.04166700,2.00668900,0.61369691,-0.34160906
0.04166700,2.10702300,0.56991566,-0.38659447
0.04166700,2.20735800,0.51606222,-0.44652755
0.04166700,2.30769200,0.47735740,-0.49498742
0.04166700,2.40802700,0.43115045,-0.53822101
0.04166700,2.50836100,0.36005936,-0.58484359
0.04166700,2.60869600,0.30816644,-0.60738743
0.04166700,2.70903000,0.22777148,-0.65566168
0.04166700,2.80936500,0.15705009,-0.65618862
0.04166700,2.90969900,0.09023427,-0.65763598
0.04166700,3.01003300,0.02513328,-0.68771063
0.04166700,3.11036800,-0.03086331,-0.68331840
0.04166700,3.21070200,-0.13953475,-0.66432064
0.04166700,3.31103700,-0.18605295,-0.65458032
0.04166700,3.41137100,-0.23876045,-0.64451076
0.04166700,3.51170600,-0.30347811,-0.62059870
0.04166700,3.61204000,-0.38677246,-0.56087098
0.04166700,3.71237500,-0.40962165,-0.52879545
0.04166700,3.81270900,-0.48029245,-0.48967248
0.04166700,3.91304300,-0.52995848,-0.42897639
0.04166700,4.01337800,-0.55490612,-0.37182223
0.04166700,4.11371200,-0.60811195,-0.31310047
0.04166700,4.21404700,-0.63014245,-0.25408605
0.04166700,4.31438100,-0.66541822,-0.17757655
0.04166700,4.41471600,-0.67899735,-0.10763285
0.04166700,4.51505000,-0.68751591,-0.05612725
0.04166700,4.61538500,-0.67944488,0.02918142
0.04166700,4.71571900,-0.67897226,0.07507082
0.04166700,4.81605400,-0.67674226,0.15522015
0.04166700,4.91638800,-0.65051497,0.21958985
0.04166700,5.01672200,-0.61001533,0.28597142
0.04166700,5.11705700,-0.59264713,0.36943206
0.04166700,5.21739100,-0.55315399,0.40595284
0.04166700,5.31772600,-0.49598433,0.46746059
0.04166700,5.41806000,-0.45268538,0.50438552
0.04166700,5.51839500,-0.40378345,0.55903238
0.04166700,5.61872900,-0.34744821,0.60476778
0.04166700,5.71906400,-0.26177766,0.65927744
0.04166700,5.81939800,-0.21139301,0.65752287
0.04166700,5.91973200,-0.14227216,0.65539611
0.04166700,6.02006700,-0.07392978,0.68008459
0.04166700,6.12040100,-0.01021180,0.69755525
0.04166700,6.22073600,0.07700300,0.69258140
0.04166700,6.32107000,0.16625305,0.64413883
0.04166700,6.42140500,0.23513820,0.62612913
0.04166700,6.52173900,0.28290302,0.63730929
0.04166700,6.62207400,0.33410209,0.61553323
0.04166700,6.72240800,0.40297501,0.55198262
0.04166700,6.82274200,0.45033082,0.49217437
0.04166700,6.92307700,0.49561045,0.46354754
0.04166700,7.02341100,0.55945279,0.39854721
0.04166700,7.12374600,0.58185682,0.34883200
0.04166700,7.22408000,0.62951442,0.26816806
0.04166700,7.32441500,0.66256982,0.21737015
0.04166700,7.42474900,0.66242097,0.15403212
0.04166700,7.52508400,0.67715308,0.07627729
0.04166700,7.62541800,0.67810642,-0.00619014
0.04166700,7.72575300,0.69415523,-0.07580449
0.04166700,7.82608700,0.65553225,-0.12502224
0.04166700,7.92642100,0.64064696,-0.18654654
0.04166700,8.02675600,0.62569111,-0.27186356
0.04166700,8.12709000,0.59458964,-0.33272136
0.04166700,8.22742500,0.54081456,-0.38174527
0.04166700,8.32775900,0.52239357,-0.43337953
0.04166700,8.42809400,0.48812237,-0.51110755
0.04166700,8.52842800,0.42422924,-0.55334428
0.04166700,8.62876300,0.36296507,-0.59296573
0.04166700,8.72909700,0.29408221,-0.60112584
0.04166700,8.82943100,0.23844553,-0.63428542
0.04166700,8.92976600,0.15593106,-0.65582247
0.04166700,9.03010000,0.10459746,-0.68472885
0.04166700,9.13043500,0.03808062,-0.68397854
0.04166700,9.23076900,-0.04694518,-0.67928006
0.04166700,9.33110400,-0.11136701,-0.66814097
0.04166700,9.43143800,-0.19646025,-0.64543936
0.04166700,9.53177300,-0.25837836,-0.64657448
0.04166700,9.63210700,-0.30841979,-0.61366028
0.04166700,9.73244100,-0.36156322,-0.58699867
0.04166700,9.83277600,-0.43005397,-0.54589442
0.04166700,9.93311000,-0.49305155,-0.49719503
0.04166700,10.03344500,-0.53425462,-0.41658702
0.04166700,10.13377900,-0.56898136,-0.36438394
0.04166700,10.23411400,-0.60841733,-0.31360268
0.04166700,10.33444800,-0.64948327,-0.24300743
0.04166700,10.43478300,-0.67114092,-0.17347631
0.04166700,10.53511700,-0.69979981,-0.11320664
0.04166700,10.63545200,-0.68400649,-0.04563829
0.04166700,10.73578600,-0.67344869,0.02556620
0.04166700,10.83612000,-0.68946893,0.09916291
0.04166700,10.93645500,-0.67032736,0.18747931
0.04166700,11.03678900,-0.65204073,0.23297084
0.04166700,11.13712400,-0.62489338,0.31516324
0.04166700,11.23745800,-0.57840246,0.35926702
0.04166700,11.33779300,-0.54464225,0.41067411
0.04166700,11.43812700,-0.47309169,0.47695967
0.04166700,11.53846200,-0.44422850,0.51660614
0.04166700,11.63879600,-0.38855317,0.55172567
0.04166700,11.73913000,-0.32872447,0.59832353
0.04166700,11.83946500,-0.26264521,0.62496170
0.04166700,11.93979900,-0.19563485,0.65749554
0.04166700,12.04013400,-0.14502859,0.67435289
0.04166700,12.14046800,-0.06049050,0.68387685
0.04166700,12.24080300,0.00327906,0.68394135
0.04166700,12.34113700,0.09427220,0.67875766
0.04166700,12.44147200,0.14769934,0.67437683
0.04166700,12.54180600,0.20927621,0.66261400
0.04166700,12.64214000,0.28155840,0.62043104
0.04166700,12.74247500,0.34616121,0.59212126
0.04166700,12.84280900,0.40062957,0.55035806
0.04166700,12.94314400,0.45597929,0.50974287
0.04166700,13.04347800,0.53129530,0.47025447
0.04166700,13.14381300,0.54267227,0.41537491
0.04166700,13.24414700,0.60069536,0.35021081
0.04166700,13.34448200,0.63496995,0.29130534
0.04166700,13.44481600,0.66659448,0.22788194
0.04166700,13.54515100,0.67374275,0.15464890
0.04166700,13.64548500,0.68434618,0.08924856
0.04166700,13.74581900,0.67281448,0.00228064
0.04166700,13.84615400,0.67536964,-0.07181773
0.04166700,13.94648800,0.68344453,-0.13617511
0.04166700,14.04682300,0.64211984,-0.20565215
0.04166700,14.14715700,0.62736784,-0.25246678
0.04166700,14.24749200,0.60785279,-0.30893432
0.04166700,14.34782600,0.58075244,-0.39759483
0.04166700,14.44816100,0.52826204,-0.42781259
0.04166700,14.54849500,0.48666518,-0.47650073
0.04166700,14.64882900,0.43392991,-0.54281088
0.04166700,14.74916400,0.37804146,-0.58475001
0.04166700,14.84949800,0.30798715,-0.62878419
0.04166700,14.94983300,0.23136850,-0.63944078
0.04166700,15.05016700,0.17802355,-0.66894962
0.04166700,15.15050200,0.08493860,-0.67818416
0.04166700,15.25083600,0.03398837,-0.68030124
0.04166700,15.35117100,-0.02375734,-0.69156297
0.04166700,15.45150500,-0.11529932,-0.68065316
0.04166700,15.55183900,-0.17809896,-0.66529913
0.04166700,15.65217400,-0.24929221,-0.64236423
0.04166700,15.75250800,-0.31726092,-0.61535141
0.04166700,15.85284300,-0.36094833,-0.56304177
0.04166700,15.95317700,-0.43543334,-0.54507530
0.04166700,16.05351200,-0.48940218,-0.47973531
0.04166700,16.15384600,-0.51800601,-0.44493959
0.04166700,16.25418100,-0.55975930,-0.35629169
0.04166700,16.35451500,-0.59562334,-0.31505908
0.04166700,16.45484900,-0.63678743,-0.27020958
0.04166700,16.55518400,-0.66182511,-0.20518627
0.04166700,16.65551800,-0.68352873,-0.14676151
0.04166700,16.75585300,-0.68797745,-0.04070625
0.04166700,16.85618700,-0.68931964,0.01119956
0.04166700,16.95652200,-0.67822370,0.09157789
0.04166700,17.05685600,-0.65772220,0.14371064
0.04166700,17.15719100,-0.64930323,0.24301436
0.04166700,17.25752500,-0.63009091,0.30011159
0.04166700,17.35786000,-0.57598428,0.35157616
0.04166700,17.45819400,-0.53524262,0.41803133
0.04166700,17.55852800,-0.48760492,0.47540070
0.04166700,17.65886300,-0.45530755,0.52425590
0.04166700,17.75919700,-0.40494252,0.55444778
0.04166700,17.85953200,-0.34230378,0.60944692
0.04166700,17.95986600,-0.26717727,0.63967922
0.04166700,18.06020100,-0.20514728,0.65540837
0.04166700,18.16053500,-0.14083309,0.65699690
0.04166700,18.26087000,-0.05522828,0.68342716
0.04166700,18.36120400,-0.00408118,0.68563691
0.04166700,18.46153800,0.06607052,0.68737464
0.04166700,18.56187300,0.16707110,0.68161499
0.04166700,18.66220700,0.21563618,0.65139939
0.04166700,18.76254200,0.27816776,0.62169548
0.04166700,18.86287600,0.34600240,0.58592223
0.04166700,18.96321100,0.39830869,0.56061500
0.04166700,19.06354500,0.44492798,0.51670816
0.04166700,19.16388000,0.51214976,0.45183679
0.04166700,19.26421400,0.53571583,0.42155038
0.04166700,19.36454800,0.56621736,0.34930088
0.04166700,19.46488300,0.61199377,0.30797909
0.04166700,19.56521700,0.63829766,0.22416903
0.04166700,19.66555200,0.66243080,0.15378657
0.04166700,19.76588600,0.67498553,0.09168942
0.04166700,19.86622100,0.67851530,0.00533037
0.04166700,19.96655500,0.68559430,-0.06270589
0.04166700,20.06689000,0.67451338,-0.11612869
0.04166700,20.16722400,0.65837278,-0.19592726
0.04166700,20.26755900,0.64905450,-0.24282531
0.04166700,20.36789300,0.60823530,-0.34049258
0.04166700,20.46822700,0.57212315,-0.37657996
0.04166700,20.56856200,0.52330910,-0.44949172
0.04166700,20.66889600,0.47651336,-0.50408413
0.04166700,20.76923100,0.41961459,-0.53889389
0.04166700,20.86956500,0.38491618,-0.58936690
0.04166700,20.96990000,0.29602441,-0.60373340
0.04166700,21.07023400,0.24327287,-0.65025459
0.04166700,21.17056900,0.16317123,-0.67008829
0.04166700,21.27090300,0.11270263,-0.68309888
0.04166700,21.37123700,0.01895862,-0.67813715
0.04166700,21.47157200,-0.04240832,-0.67365089
0.04166700,21.57190600,-0.09578086,-0.67621064
0.04166700,21.67224100,-0.17930748,-0.65555471
0.04166700,21.77257500,-0.24641660,-0.65217040
0.04166700,21.87291000,-0.29547563,-0.61291623
0.04166700,21.97324400,-0.35816141,-0.55939295
0.04166700,22.07357900,-0.43339878,-0.54833021
0.04166700,22.17391300,-0.48787553,-0.48214652
0.04166700,22.27424700,-0.54086510,-0.43094876
0.04166700,22.37458200,-0.58819022,-0.37503687
0.04166700,22.47491600,-0.62832576,-0.32914903
0.04166700,22.57525100,-0.65552389,-0.24141510
0.04166700,22.67558500,-0.65522414,-0.17498154
0.04166700,22.77592000,-0.66445840,-0.09549339
0.04166700,22.87625400,-0.66880899,-0.05462915
0.04166700,22.97658900,-0.66887718,0.02227135
0.04166700,23.07692300,-0.70359870,0.10667490
0.04166700,23.17725800,-0.67612640,0.18942437
0.04166700,23.27759200,-0.63072618,0.24132252
0.04166700,23.37792600,-0.62015412,0.30112992
0.04166700,23.47826100,-0.57011515,0.34313580
0.04166700,23.57859500,-0.54353921,0.41221053
0.04166700,23.67893000,-0.50308122,0.46983180
0.04166700,23.77926400,-0.45112182,0.50195428
0.04166700,23.87959900,-0.40638569,0.55039203
0.04166700,23.97993300,-0.31103728,0.59704303
0.04166700,24.08026800,-0.24791628,0.62622552
0.04166700,24.18060200,-0.21447376,0.65889118
0.04166700,24.28093600,-0.13605779,0.65287237
0.04166700,24.38127100,-0.04975625,0.66428546
0.04166700,24.48160500,-0.00117375,0.67206254
0.04166700,24.58194000,0.06621933,0.68548275
0.04166700,24.68227400,0.14300897,0.68995608
0.04166700,24.78260900,0.19014595,0.65555488
0.04166700,24.88294300,0.27036420,0.62199689
0.04166700,24.98327800,0.35159042,0.59243508
0.04166700,25.08361200,0.40230025,0.55173327
0.04166700,25.18394600,0.44864486,0.54743308
0.04166700,25.28428100,0.51299994,0.45118385
0.04166700,25.38461500,0.55499284,0.40198588
0.04166700,25.48495000,0.58749773,0.34771535
0.04166700,25.58528400,0.61587259,0.27874122
0.04166700,25.68561900,0.63532312,0.21912532
0.04166700,25.78595300,0.67078158,0.14232996
0.04166700,25.88628800,0.68610546,0.09692409
